dataset,seed_index,implementation,compression_ratio,memory_bytes
nested-scopes,17,BudgetSym,1.84034,38945
nested-scopes,18,Conventional,1,71720
nested-scopes,18,Interned,1.05907,67720
nested-scopes,18,BudgetSym,1.8378,39025
nested-scopes,19,Conventional,1,71780
nested-scopes,19,Interned,1.05901,67780
nested-scopes,19,BudgetSym,1.83684,39078
nested-scopes,20,Conventional,1,71722
nested-scopes,20,Interned,1.05907,67722
nested-scopes,20,BudgetSym,1.83775,39027
nested-scopes,21,Conventional,1,71748
nested-scopes,21,Interned,1.05904,67748
nested-scopes,21,BudgetSym,1.83729,39051
nested-scopes,22,Conventional,1,71726
nested-scopes,22,Interned,1.05906,67726
nested-scopes,22,BudgetSym,1.83795,39025
nested-scopes,23,Conventional,1,71738
nested-scopes,23,Interned,1.05905,67738
nested-scopes,23,BudgetSym,1.83788,39033
nested-scopes,24,Conventional,1,71697
nested-scopes,24,Interned,1.05909,67697
nested-scopes,24,BudgetSym,1.83871,38993
nested-scopes,25,Conventional,1,71753
nested-scopes,25,Interned,1.05904,67753
nested-scopes,25,BudgetSym,1.83779,39043
nested-scopes,26,Conventional,1,71816
nested-scopes,26,Interned,1.05898,67816
nested-scopes,26,BudgetSym,1.83574,39121
nested-scopes,27,Conventional,1,71792
nested-scopes,27,Interned,1.059,67792
nested-scopes,27,BudgetSym,1.83649,39092
nested-scopes,28,Conventional,1,71897
nested-scopes,28,Interned,1.05891,67897
nested-scopes,28,BudgetSym,1.83443,39193
nested-scopes,29,Conventional,1,71740
nested-scopes,29,Interned,1.05905,67740
nested-scopes,29,BudgetSym,1.83798,39032
hot-cold-access,0,Conventional,1,107025
hot-cold-access,0,Interned,1.05939,101025
hot-cold-access,0,BudgetSym,1.61973,66076
hot-cold-access,1,Conventional,1,106940
hot-cold-access,1,Interned,1.05944,100940
hot-cold-access,1,BudgetSym,1.63848,65268
hot-cold-access,2,Conventional,1,106825
hot-cold-access,2,Interned,1.05951,100825
hot-cold-access,2,BudgetSym,1.62858,65594
hot-cold-access,3,Conventional,1,106900
hot-cold-access,3,Interned,1.05946,100900
hot-cold-access,3,BudgetSym,1.62662,65719
hot-cold-access,4,Conventional,1,107054
hot-cold-access,4,Interned,1.05937,101054
hot-cold-access,4,BudgetSym,1.61518,66280
hot-cold-access,5,Conventional,1,107118
hot-cold-access,5,Interned,1.05934,101118
hot-cold-access,5,BudgetSym,1.61854,66182
hot-cold-access,6,Conventional,1,106920
hot-cold-access,6,Interned,1.05945,100920
hot-cold-access,6,BudgetSym,1.62283,65885
hot-cold-access,7,Conventional,1,106976
hot-cold-access,7,Interned,1.05942,100976
hot-cold-access,7,BudgetSym,1.63058,65606
hot-cold-access,8,Conventional,1,106754
hot-cold-access,8,Interned,1.05955,100754
hot-cold-access,8,BudgetSym,1.63502,65292
hot-cold-access,9,Conventional,1,106744
hot-cold-access,9,Interned,1.05956,100744
hot-cold-access,9,BudgetSym,1.63095,65449
hot-cold-access,10,Conventional,1,107044
hot-cold-access,10,Interned,1.05938,101044
hot-cold-access,10,BudgetSym,1.6252,65865
hot-cold-access,11,Conventional,1,106990
hot-cold-access,11,Interned,1.05941,100990
hot-cold-access,11,BudgetSym,1.62505,65838
hot-cold-access,12,Conventional,1,107039
hot-cold-access,12,Interned,1.05938,101039
hot-cold-access,12,BudgetSym,1.62849,65729
hot-cold-access,13,Conventional,1,106895
hot-cold-access,13,Interned,1.05947,100895
hot-cold-access,13,BudgetSym,1.62907,65617
hot-cold-access,14,Conventional,1,107248
hot-cold-access,14,Interned,1.05926,101248
hot-cold-access,14,BudgetSym,1.61299,66490
hot-cold-access,15,Conventional,1,107026
hot-cold-access,15,Interned,1.05939,101026
hot-cold-access,15,BudgetSym,1.6306,65636
hot-cold-access,16,Conventional,1,107036
hot-cold-access,16,Interned,1.05938,101036
hot-cold-access,16,BudgetSym,1.63035,65652
hot-cold-access,17,Conventional,1,106982
hot-cold-access,17,Interned,1.05942,100982
hot-cold-access,17,BudgetSym,1.60786,66537
hot-cold-access,18,Conventional,1,107002
hot-cold-access,18,Interned,1.0594,101002
hot-cold-access,18,BudgetSym,1.62944,65668
hot-cold-access,19,Conventional,1,106849
hot-cold-access,19,Interned,1.05949,100849
hot-cold-access,19,BudgetSym,1.62523,65744
hot-cold-access,20,Conventional,1,106941
hot-cold-access,20,Interned,1.05944,100941
hot-cold-access,20,BudgetSym,1.63857,65265
hot-cold-access,21,Conventional,1,106931
hot-cold-access,21,Interned,1.05945,100931
hot-cold-access,21,BudgetSym,1.63136,65547
hot-cold-access,22,Conventional,1,107146
hot-cold-access,22,Interned,1.05932,101146
hot-cold-access,22,BudgetSym,1.62828,65803
hot-cold-access,23,Conventional,1,107116
hot-cold-access,23,Interned,1.05934,101116
hot-cold-access,23,BudgetSym,1.6147,66338
hot-cold-access,24,Conventional,1,107122
hot-cold-access,24,Interned,1.05933,101122
hot-cold-access,24,BudgetSym,1.61428,66359
hot-cold-access,25,Conventional,1,107045
hot-cold-access,25,Interned,1.05938,101045
hot-cold-access,25,BudgetSym,1.6328,65559
hot-cold-access,26,Conventional,1,107017
hot-cold-access,26,Interned,1.0594,101017
hot-cold-access,26,BudgetSym,1.62127,66008
hot-cold-access,27,Conventional,1,107033
hot-cold-access,27,Interned,1.05939,101033
hot-cold-access,27,BudgetSym,1.62625,65816
hot-cold-access,28,Conventional,1,107251
hot-cold-access,28,Interned,1.05926,101251
hot-cold-access,28,BudgetSym,1.61035,66601
hot-cold-access,29,Conventional,1,106975
hot-cold-access,29,Interned,1.05942,100975
hot-cold-access,29,BudgetSym,1.62167,65966
memory-stress,0,Conventional,1,119251
memory-stress,0,Interned,1.05298,113251
memory-stress,0,BudgetSym,1.44991,82247
memory-stress,1,Conventional,1,119444
memory-stress,1,Interned,1.05289,113444
memory-stress,1,BudgetSym,1.4484,82466
memory-stress,2,Conventional,1,119406
memory-stress,2,Interned,1.05291,113406
memory-stress,2,BudgetSym,1.44831,82445
memory-stress,3,Conventional,1,119341
memory-stress,3,Interned,1.05294,113341
memory-stress,3,BudgetSym,1.44949,82333
memory-stress,4,Conventional,1,119259
memory-stress,4,Interned,1.05298,113259
memory-stress,4,BudgetSym,1.44971,82264
memory-stress,5,Conventional,1,119300
memory-stress,5,Interned,1.05296,113300
memory-stress,5,BudgetSym,1.44966,82295
memory-stress,6,Conventional,1,119304
memory-stress,6,Interned,1.05295,113304
memory-stress,6,BudgetSym,1.44952,82306
memory-stress,7,Conventional,1,118957
memory-stress,7,Interned,1.05312,112957
memory-stress,7,BudgetSym,1.45156,81951
memory-stress,8,Conventional,1,119203
memory-stress,8,Interned,1.053,113203
memory-stress,8,BudgetSym,1.44975,82223
memory-stress,9,Conventional,1,119524
memory-stress,9,Interned,1.05285,113524
memory-stress,9,BudgetSym,1.44783,82554
memory-stress,10,Conventional,1,119075
memory-stress,10,Interned,1.05306,113075
memory-stress,10,BudgetSym,1.45077,82077
memory-stress,11,Conventional,1,119027
